stu;nb_polys;nb_smu;area;soil;soil90;text1;text2;slope1;slope2;aglim1;aglim2;mat1;mat2;zmin;zmax;use1;use2;dt;td1;td2;roo;il;wr;wm1;wm2;wm3;cfl
"332630;1;1;180.9398864;\"Poh\";\"\";1;0;1;3;1;1;\"412\";\"450\";150;200;5;3;5;0;0;3;1;1;2;0;0;\"H\""
"332631;1;1;38.7728328;\"Ql\";\"\";1;0;1;3;1;1;\"412\";\"\";150;200;5;3;5;0;0;1;1;1;2;0;0;\"M\""
"332632;1;1;38.7728328;\"I\";\"\";1;0;1;3;1;1;\"450\";\"\";150;200;5;3;5;0;0;4;1;1;2;0;0;\"H\""
"332633;6;1;562.426224;\"Pl\";\"\";1;2;3;4;1;1;\"450\";\"700\";600;1300;5;0;5;0;0;2;1;1;2;0;0;\"H\""
"332634;6;1;449.9409792;\"Bds\";\"\";2;0;3;4;1;1;\"450\";\"720\";600;1300;5;0;5;0;0;2;4;3;2;0;0;\"H\""
"332635;6;1;56.2426224;\"I\";\"\";1;2;4;0;3;1;\"700\";\"\";600;1300;5;0;5;0;0;4;1;1;2;0;0;\"H\""
"332636;6;1;56.2426224;\"U\";\"\";1;2;3;4;4;3;\"700\";\"\";600;1300;5;0;5;0;0;3;1;1;2;0;0;\"H\""
"332637;3;1;340.5430928;\"Pl\";\"\";1;2;3;4;1;1;\"450\";\"\";400;1100;5;0;5;0;0;2;1;1;2;0;0;\"H\""
"332638;3;1;212.839433;\"Bds\";\"\";2;0;3;4;1;1;\"450\";\"\";400;1100;5;0;5;0;0;1;4;3;2;0;0;\"H\""
"332639;3;1;212.839433;\"Po\";\"\";1;0;3;4;1;1;\"450\";\"\";400;1100;5;0;5;0;0;2;1;1;2;0;0;\"H\""
"332640;2;1;48.666248;\"Plh\";\"\";1;0;3;4;1;1;\"711\";\"\";1500;2000;5;0;5;0;0;2;1;1;2;0;0;\"M\""
"332641;2;1;38.9329984;\"Bds\";\"\";2;0;1;2;1;1;\"711\";\"\";1500;2000;5;0;5;0;0;3;4;3;2;0;0;\"M\""
"332642;2;1;4.8666248;\"I\";\"\";1;0;3;4;3;1;\"711\";\"\";1500;2000;5;0;5;0;0;4;1;1;2;0;0;\"M\""
